regulator	1	2	3	4	5
gene236950	15.8101	200.1693	87.1677	13.5943	34.7763
gene25060	18.255	255.8865	93.1568	15.2621	36.65
gene25260	19.7684	275.952	85.4507	17.8604	39.442
gene25360	17.5636	256.5602	79.2058	21.8605	36.4218
gene25390	13.3976	227.1553	97.3442	20.7784	35.5405
gene25400	40.4138	5.1892	82.538	34.5244	28.8735
gene25410	40.6983	38.5039	97.4512	43.9781	29.386
gene25419	35.3186	5.3993	106.963	63.8416	28.4987
gene25430	34.568	35.9922	112.2299	77.2156	29.3044
gene25550	44.9285	5.0738	78.9844	41.0641	30.5626
gene25570	20.3194	54.0765	32.3343	25.5657	51.702
gene25590	21.4438	56.9718	34.2511	22.7655	57.392
gene25610	8.7474	59.3982	24.6291	20.7524	63.6478
gene25630	2.2555	54.3866	24.492	16.9391	60.4135
gene25640	2.2699	55.5466	35.7479	15.773	55.0301
gene25650	5.943	145.9693	42.1241	44.7333	38.8936
gene25690	40.6002	111.7879	38.0655	56.1198	33.4608
gene25710	36.0284	99.4365	41.4893	63.4241	27.3924
gene25720	31.1242	94.7328	42.2782	72.6877	27.3843
gene25780	34.671	150.972	52.4078	53.6176	34.85
gene25840	29.0352	105.7806	23.0325	57.1349	48.7388
gene25850	30.6332	101.3175	29.0993	61.4077	54.2141
gene25860	34.9271	88.5832	23.3003	67.6782	51.3981
gene25870	35.0398	85.5594	21.7792	64.7422	46.7403
gene25880	30.5584	90.0986	22.5132	63.5119	42.3223
gene25910	58.1846	32.3367	10.8076	18.4942	11.6416
gene25939	49.0171	39.5306	13.1953	29.4169	14.0159
gene25960	39.7344	5.6595	18.5655	32.4349	15.8653
gene238000	38.7108	5.4069	22.765	5.72	20.6915
gene238051	41.9683	35.95	18.2758	22.5294	13.2116
gene238110	510.8632	23.5172	31.1	15.7875	40.2915
gene238140	463.7695	23.6408	31.0478	22.116	35.4541
gene238150	520.4553	20.3989	31.7405	23.3623	39.9334
gene238180	685.6041	20.8804	29.9145	20.3691	42.927
gene238210	607.6323	25.4952	32.3177	15.7479	48.3831
gene238270	414.6023	50.8053	12.8704	6.4207	25.7533
gene238290	409.735	47.4823	14.9434	7.8845	17.8335
gene238310	357.349	48.4845	18.8474	19.1422	13.8482
gene238360	328.5009	49.703	24.124	51.2265	15.7854
gene238380	414.5021	51.9775	25.1846	4.8414	32.7652
gene238400	30.9112	733.326	159.9619	39.8842	35.8924
gene238440	33.0418	624.945	171.7769	42.8648	35.7477
gene238480	34.1412	589.6613	149.2539	49.0232	34.5792
gene238490	28.3882	672.2417	147.4826	50.5678	5.7278
gene238560	28.8176	657.1321	161.3929	43.1645	35.7332
gene238590	40.6643	4.2434	27.5938	16.7726	32.4484
gene238620	43.6856	4.7601	20.6622	20.354	36.9712
gene238640	43.536	6.4849	22.0907	22.2014	33.9401
gene238650	38.8508	25.433	21.8462	23.211	29.885
gene238780	42.9386	12.4769	34.363	16.5985	31.1691
